Source,Target,Type,id,weight,movie_id,from,to
545977,548924,Directed,308,1.0,92,ABDULLAH,ALARID
545977,545943,Directed,309,2.0,92,ABDULLAH,HASSAN
545977,549040,Directed,310,1.0,92,ABDULLAH,POLICE OFFICER
545977,546071,Directed,311,2.0,92,ABDULLAH,YASIRA
545977,547340,Directed,312,2.0,92,ABDULLAH,ZORA
546020,545977,Directed,313,3.0,92,AHMED,ABDULLAH
546020,546071,Directed,314,1.0,92,AHMED,YASIRA
546020,547340,Directed,315,2.0,92,AHMED,ZORA
548924,545943,Directed,316,1.0,92,ALARID,HASSAN
548924,547890,Directed,317,1.0,92,ALARID,OLD MAN
548924,549040,Directed,318,2.0,92,ALARID,POLICE OFFICER
548924,549013,Directed,319,2.0,92,ALARID,WIFE
548924,546138,Directed,320,2.0,92,ALARID,YUSSEF
546338,547786,Directed,321,1.0,92,AMELIA,DAUGHTER 1
546338,552094,Directed,322,2.0,92,AMELIA,ELISEO
546338,547721,Directed,323,3.0,92,AMELIA,LUIS
546338,549518,Directed,324,1.0,92,AMELIA,MADRE
546338,549466,Directed,325,1.0,92,AMELIA,MOTHER
546338,549510,Directed,326,1.0,92,AMELIA,PATRICIA
546338,546691,Directed,327,6.0,92,AMELIA,SANTIAGO
546338,546610,Directed,328,1.0,92,AMELIA,WOMAN
546744,548063,Directed,329,2.0,92,ANWAR,ANWAR'S GRANDMOTHER
546744,548176,Directed,330,2.0,92,ANWAR,JAMES
546744,548166,Directed,331,1.0,92,ANWAR,LILLY
546744,551102,Directed,332,1.0,92,ANWAR,POLICEMAN
546744,552410,Directed,333,1.0,92,ANWAR,TENDER0
546744,548141,Directed,334,1.0,92,ANWAR,TOM
547927,546509,Directed,335,1.0,92,BARTH,RICHARD
547015,550093,Directed,336,1.0,92,CHIEKO,HARUKI
547015,547019,Directed,337,1.0,92,CHIEKO,REFEREE
547015,547026,Directed,338,1.0,92,CHIEKO,TEAMMATE 1
547015,547072,Directed,339,1.0,92,CHIEKO,TEAMMATE 2
547707,546338,Directed,340,1.0,92,COMADRE 1,AMELIA
547707,547721,Directed,341,1.0,92,COMADRE 1,YOUNG MAN
547707,546691,Directed,342,1.0,92,COMADRE 1,SANTIAGO
550293,545943,Directed,343,1.0,92,COP,HASSAN
547786,546691,Directed,344,1.0,92,DAUGHTER 1,SANTIAGO
546413,546338,Directed,345,4.0,92,DEBBIE,AMELIA
546413,546342,Directed,346,4.0,92,DEBBIE,MIKE
546413,549040,Directed,347,1.0,92,DEBBIE,POLICE OFFICER
549580,546744,Directed,348,2.0,92,DOCTOR,ANWAR
549580,548063,Directed,349,1.0,92,DOCTOR,ANWAR'S GRANDMOTHER
549580,546509,Directed,350,2.0,92,DOCTOR,RICHARD
548781,547107,Directed,351,1.0,92,DOORMAN,YASUJIRO
548133,546744,Directed,352,1.0,92,DOUGLAS,ANWAR
548133,548176,Directed,353,1.0,92,DOUGLAS,JAMES
549930,548166,Directed,354,1.0,92,DRIVER,LILLY
549930,548141,Directed,355,1.0,92,DRIVER,TOM
549757,549761,Directed,356,1.0,92,FRIEND 1,FRIEND 2
549757,549787,Directed,357,1.0,92,FRIEND 1,FRIEND 3
549757,549781,Directed,358,1.0,92,FRIEND 1,NEWSCASTER
549761,549787,Directed,359,1.0,92,FRIEND 2,FRIEND 3
549761,549781,Directed,360,1.0,92,FRIEND 2,NEWSCASTER
550535,546338,Directed,361,1.0,92,GUITAR PLAYER,AMELIA
550535,547721,Directed,362,1.0,92,GUITAR PLAYER,LUIS
548774,548781,Directed,363,1.0,92,HAMANO,DOORMAN
548774,548814,Directed,364,1.0,92,HAMANO,KENJI
550093,547201,Directed,365,1.0,92,HARUKI,MITSU
545943,546020,Directed,366,1.0,92,HASSAN,AHMED
545943,549040,Directed,367,1.0,92,HASSAN,POLICE OFFICER
545943,549013,Directed,368,1.0,92,HASSAN,WIFE
547171,547015,Directed,369,1.0,92,HOSTESS,CHIEKO
547171,547201,Directed,370,1.0,92,HOSTESS,MITSU
550492,546338,Directed,371,1.0,92,JACINTO,AMELIA
549916,549930,Directed,372,1.0,92,JANE,DRIVER
549916,548166,Directed,373,1.0,92,JANE,LILLY
549916,548141,Directed,374,1.0,92,JANE,TOM
552013,546338,Directed,375,3.0,92,JOHN,AMELIA
552013,552094,Directed,376,2.0,92,JOHN,ELISEO
552436,546509,Directed,377,1.0,92,KEN,RICHARD
548814,553088,Directed,378,1.0,92,KENJI,BARTENDER
548814,548781,Directed,379,1.0,92,KENJI,DOORMAN
548814,552703,Directed,380,1.0,92,KENJI,REPORTER
548814,547107,Directed,381,1.0,92,KENJI,YASUJIRO
550071,547015,Directed,382,1.0,92,KUMIKO,CHIEKO
550071,550093,Directed,383,1.0,92,KUMIKO,HARUKI
550071,547201,Directed,384,1.0,92,KUMIKO,MITSU
548166,548133,Directed,385,1.0,92,LILLY,DOUGLAS
548166,548176,Directed,386,1.0,92,LILLY,JAMES
548166,548141,Directed,387,2.0,92,LILLY,TOM
548166,550025,Directed,388,1.0,92,LILLY,WALTER
546635,546338,Directed,389,1.0,92,LUCIA,AMELIA
547721,549510,Directed,390,1.0,92,LUIS,PATRICIA
547721,546691,Directed,391,2.0,92,LUIS,SANTIAGO
546342,546338,Directed,392,8.0,92,MIKE,AMELIA
546342,549040,Directed,393,1.0,92,MIKE,POLICE OFFICER
546342,546691,Directed,394,2.0,92,MIKE,SANTIAGO
547201,547015,Directed,395,2.0,92,MITSU,CHIEKO
548384,546744,Directed,396,1.0,92,MOHAMMED,ANWAR
548384,549757,Directed,397,1.0,92,MOHAMMED,FRIEND 1
548384,549761,Directed,398,1.0,92,MOHAMMED,FRIEND 2
548384,549787,Directed,399,1.0,92,MOHAMMED,FRIEND 3
548384,549781,Directed,400,1.0,92,MOHAMMED,NEWSCASTER
548384,551102,Directed,401,1.0,92,MOHAMMED,POLICEMAN
548384,548141,Directed,402,1.0,92,MOHAMMED,TOM
552760,546509,Directed,403,1.0,92,MOROCCAN DOCTOR,RICHARD
549781,549787,Directed,404,1.0,92,NEWSCASTER,FRIEND 3
550731,546338,Directed,405,1.0,92,OFFICER,AMELIA
550731,546413,Directed,406,1.0,92,OFFICER,DEBBIE
550731,546691,Directed,407,1.0,92,OFFICER,SANTIAGO
549510,549518,Directed,408,1.0,92,PATRICIA,MADRE
549040,546338,Directed,409,1.0,92,POLICE OFFICER,AMELIA
551102,548176,Directed,410,1.0,92,POLICEMAN,JAMES
551102,548141,Directed,411,2.0,92,POLICEMAN,TOM
548281,546744,Directed,412,1.0,92,RACHEL,ANWAR
548281,551354,Directed,413,1.0,92,RACHEL,MARK
548281,546509,Directed,414,1.0,92,RACHEL,RICHARD
547019,547026,Directed,415,1.0,92,REFEREE,TEAMMATE
552703,553088,Directed,416,1.0,92,REPORTER,BARTENDER
552703,552436,Directed,417,1.0,92,REPORTER,KEN
552703,546509,Directed,418,1.0,92,REPORTER,RICHARD
546509,546338,Directed,419,1.0,92,RICHARD,AMELIA
546509,546744,Directed,420,13.0,92,RICHARD,ANWAR
546509,548063,Directed,421,2.0,92,RICHARD,ANWAR'S GRANDMOTHER
546509,548133,Directed,422,1.0,92,RICHARD,DOUGLAS
546509,548176,Directed,423,2.0,92,RICHARD,JAMES
546509,548166,Directed,424,2.0,92,RICHARD,LILLY
546509,551354,Directed,425,1.0,92,RICHARD,MARK
546509,546342,Directed,426,1.0,92,RICHARD,MIKE
546509,547890,Directed,427,1.0,92,RICHARD,OLD MAN
546509,551102,Directed,428,1.0,92,RICHARD,POLICEMAN
546509,552429,Directed,429,1.0,92,RICHARD,SECRETARY
546509,552410,Directed,430,1.0,92,RICHARD,TENDERO
546509,550025,Directed,431,1.0,92,RICHARD,WALTER
546691,546413,Directed,432,2.0,92,SANTIAGO,DEBBIE
546691,550492,Directed,433,1.0,92,SANTIAGO,JACINTO
546691,549510,Directed,434,1.0,92,SANTIAGO,PATRICIA
552429,552436,Directed,435,1.0,92,SECRETARY,KEN
548530,546744,Directed,436,1.0,92,SHEIK,ANWAR
548530,546509,Directed,437,1.0,92,SHEIK,RICHARD
546758,546744,Directed,438,5.0,92,SUSAN,ANWAR
546758,548063,Directed,439,3.0,92,SUSAN,ANWAR'S GRANDMOTHER
546758,549580,Directed,440,1.0,92,SUSAN,DOCTOR
546758,546509,Directed,441,8.0,92,SUSAN,RICHARD
546758,552410,Directed,442,1.0,92,SUSAN,TENDERO
547065,547015,Directed,443,1.0,92,TEAMMATE 1,CHIEKO
547065,547072,Directed,444,1.0,92,TEAMMATE 1,TEAMMATE 2
548141,548133,Directed,445,1.0,92,TOM,DOUGLAS
548141,548176,Directed,446,2.0,92,TOM,JAMES
548141,546509,Directed,447,2.0,92,TOM,RICHARD
548141,550025,Directed,448,1.0,92,TOM,WALTER
546784,546509,Directed,449,1.0,92,WAITER,RICHARD
546784,546758,Directed,450,1.0,92,WAITER,SUSAN
550025,548133,Directed,451,1.0,92,WALTER,DOUGLAS
549013,549040,Directed,452,1.0,92,WIFE,POLICE OFFICER
546071,545943,Directed,453,1.0,92,YASIRA,HASSAN
546071,547340,Directed,454,1.0,92,YASIRA,ZORA
547107,547015,Directed,455,1.0,92,YASUJIRO,CHIEKO
547221,547015,Directed,456,1.0,92,YOUNG MAN,CHIEKO
546138,545977,Directed,457,5.0,92,YUSSEF,ABDULLAH
546138,546020,Directed,458,5.0,92,YUSSEF,AHMED
546138,549040,Directed,459,1.0,92,YUSSEF,POLICE OFFICER
546138,546071,Directed,460,2.0,92,YUSSEF,YASIRA
546138,547340,Directed,461,2.0,92,YUSSEF,ZORA